Manufacturing Year,Brand,Model,Distance Driven,Fuel Type,Price
2014,Hyundai,Hyundai Xcent,139.5K km,diesel,3.32 Lakh
2020,Kia,Kia Seltos,96K km,petrol,11.48 Lakh
2014,Hyundai,Hyundai Elite i20,127K km,petrol,4.25 Lakh
2017,Renault,Renault Kwid,38.5K km,petrol,3.30 Lakh
2018,Hyundai,Hyundai Elite i20,76.5K km,diesel,6.40 Lakh
2023,Honda,Honda Amaze,26.5K km,petrol,7.92 Lakh
2014,Maruti,Maruti Alto 800,76K km,petrol,2.16 Lakh
2015,Hyundai,Hyundai Elite i20,72.5K km,petrol,4.75 Lakh
2016,Hyundai,Hyundai Xcent,85K km,petrol,4.05 Lakh
2022,Kia,Kia Seltos,27.5K km,petrol,14.81 Lakh
2014,Maruti,Maruti Wagon R,69.5K km,petrol,2.96 Lakh
2018,Maruti,Maruti Alto 800,79K km,petrol,2.28 Lakh
2019,Hyundai,Hyundai Santro,108K km,petrol,3.92 Lakh
2017,Maruti,Maruti Alto 800,95.5K km,petrol,2.39 Lakh
2015,Maruti,Maruti Celerio,144.5K km,petrol,2.87 Lakh
2021,Kia,Kia Sonet,39.5K km,diesel,9.53 Lakh
2016,Renault,Renault Kwid,147K km,petrol,2.40 Lakh
2023,Volkswagen,Volkswagen Virtus,49K km,petrol,10.58 Lakh
2021,Mahindra,Mahindra XUV 300,32K km,petrol,9.85 Lakh
2019,Hyundai,Hyundai Elite i20,110.5K km,petrol,5.17 Lakh
2021,MG,MG Hector,29.5K km,petrol,14.33 Lakh
2018,Hyundai,Hyundai Elite i20,80.5K km,diesel,6.50 Lakh
2021,Hyundai,Hyundai Venue,56K km,petrol,8.02 Lakh
2019,Maruti,Maruti Alto K10,45K km,petrol,3.48 Lakh
2022,MG,MG Hector,55.5K km,petrol,14.81 Lakh
2016,Hyundai,Hyundai Elite i20,77K km,petrol,4.88 Lakh
2013,Maruti,Maruti Swift,51K km,petrol,3.54 Lakh
